date,week,use_case,channel,query_type,query,page_url,variant,method(AEO/GEO),visibility_score(1-5),accuracy_score(1-5),completeness_score(1-5),citation_present(Y/N),brand_mentioned(Y/N),click_or_conversion_proxy,notes
2026-04-07,1,B2B SaaS Paper Print,Google Search,definition,what is print procurement software,https://paperprintcloud.example/faq/what-is-print-procurement-software,baseline,AEO,2,3,2,N,N,1,"Baseline page had a long intro and weak direct answer"
2026-04-07,1,B2B SaaS Paper Print,Google Search,definition,what is print procurement software,https://paperprintcloud.example/faq/what-is-print-procurement-software,optimized-aeo,AEO,4,4,4,N,Y,3,"Question-led heading and 52-word answer block improved answer visibility"
2026-04-07,1,B2B SaaS Paper Print,Google Search,comparison,best print management software for enterprise teams,https://paperprintcloud.example/compare/best-print-management-software,baseline,AEO,2,3,3,N,N,1,"Content ranked but did not surface as a concise comparison answer"
2026-04-07,1,B2B SaaS Paper Print,Google Search,comparison,best print management software for enterprise teams,https://paperprintcloud.example/compare/best-print-management-software,optimized-aeo,AEO,4,4,4,Y,Y,4,"Added short comparison table, FAQ schema, and direct buyer summary"
2026-04-07,1,B2B SaaS Paper Print,Google Search,pricing,how much does print ordering software cost,https://paperprintcloud.example/pricing,baseline,AEO,1,3,2,N,N,1,"Pricing page lacked a cost range and answer-style structure"
2026-04-07,1,B2B SaaS Paper Print,Google Search,pricing,how much does print ordering software cost,https://paperprintcloud.example/pricing,optimized-aeo,AEO,4,4,4,Y,Y,5,"Added pricing bands, setup scope, and implementation timeline answer block"
2026-04-07,1,B2B SaaS Paper Print,Google Search,how-to,how to automate print ordering for distributed offices,https://paperprintcloud.example/guides/automate-print-ordering,baseline,AEO,2,3,3,N,N,2,"Guide was informative but buried the direct process steps"
2026-04-07,1,B2B SaaS Paper Print,Google Search,how-to,how to automate print ordering for distributed offices,https://paperprintcloud.example/guides/automate-print-ordering,optimized-aeo,AEO,5,4,5,Y,Y,5,"Structured steps plus HowTo schema produced stronger answer eligibility"
2026-04-07,2,B2B SaaS Paper Print,ChatGPT,definition,what is print procurement software,https://paperprintcloud.example/faq/what-is-print-procurement-software,optimized-geo,GEO,3,4,4,Y,Y,2,"Entity-rich definition increased brand mention in AI summaries"
2026-04-07,2,B2B SaaS Paper Print,Perplexity,comparison,best print management software for enterprise teams,https://paperprintcloud.example/compare/best-print-management-software,optimized-geo,GEO,4,4,5,Y,Y,4,"Trusted source citations and comparison matrix improved citation pickup"
2026-04-07,2,B2B SaaS Paper Print,Gemini,pricing,how much does print ordering software cost,https://paperprintcloud.example/pricing,optimized-geo,GEO,3,4,4,Y,Y,3,"Fact table with pricing model improved answer completeness"
2026-04-07,2,B2B SaaS Paper Print,Copilot,how-to,how to automate print ordering for distributed offices,https://paperprintcloud.example/guides/automate-print-ordering,optimized-geo,GEO,4,4,5,Y,Y,4,"Clear workflow stages and integration details improved retrieval quality"
2026-04-07,2,B2B SaaS Paper Print,ChatGPT,security,is print procurement software secure for enterprise procurement teams,https://paperprintcloud.example/security/enterprise-print-procurement,optimized-geo,GEO,4,5,4,Y,Y,5,"Security, SSO, audit logs, and policy controls were directly referenced"
2026-04-07,2,B2B SaaS Paper Print,Perplexity,roi,roi of switching from manual print buying to print procurement software,https://paperprintcloud.example/guides/print-procurement-roi,optimized-geo,GEO,4,5,5,Y,Y,5,"Original ROI ranges and benchmark assumptions improved citation quality"
2026-04-07,3,B2B SaaS Paper Print,Comparison Lab,comparison,what is print procurement software,https://paperprintcloud.example/faq/what-is-print-procurement-software,aeo-vs-geo,Comparison,4,4,4,Y,Y,3,"AEO won on direct answer visibility; GEO won on context and citation support"
2026-04-07,3,B2B SaaS Paper Print,Comparison Lab,comparison,best print management software for enterprise teams,https://paperprintcloud.example/compare/best-print-management-software,aeo-vs-geo,Comparison,4,4,5,Y,Y,4,"GEO performed better in AI comparison prompts; AEO stayed stronger on search answer formats"
2026-04-07,3,B2B SaaS Paper Print,Comparison Lab,comparison,how much does print ordering software cost,https://paperprintcloud.example/pricing,aeo-vs-geo,Comparison,4,4,4,Y,Y,5,"Both approaches improved results; AEO supported pricing snippets while GEO improved AI recommendation depth"
2026-04-07,3,B2B SaaS Paper Print,Comparison Lab,comparison,how to automate print ordering for distributed offices,https://paperprintcloud.example/guides/automate-print-ordering,aeo-vs-geo,Comparison,5,4,5,Y,Y,5,"Combined structure produced the strongest overall performance across search and AI engines"
